SR NO,LCN,CHANNEL NAME,Category
191,637,TV 9 MARATHI,MARATHI
192,641,ETV,TELUGU
193,642,ETV ANDHRA PRADESH,TELUGU
194,643,ZEE TELUGU,TELUGU
195,644,MAA TV,TELUGU
196,645,GEMINI TV,TELUGU
197,646,GEMINI COMEDY,TELUGU
198,648,DD SAPTAGIRI,TELUGU
199,649,MAA MUSIC,TELUGU
200,650,MAA MOVIES,TELUGU
201,651,GEMINI MOVIES,TELUGU
202,652,GEMINI LIFE,TELUGU
203,653,GEMINI MUSIC,TELUGU
204,655,CINE 21,TELUGU
205,656,ETV PLUS,TELUGU
206,658,GEMINI NEWS,TELUGU
207,659,TV 9 TELUGU,TELUGU
208,660,ABN ANDHRA JYOTI,TELUGU
209,661,V6 NEWS,TELUGU
210,662,I NEWS,TELUGU
211,663,HM TV,TELUGU
212,664,TV 5 NEWS,TELUGU
213,665,T NEWS,TELUGU
214,666,ETV TELANGANA,TELUGU
215,669,KUSHI TV,TELUGU
216,670,SVBC TTD,TELUGU
217,671,BHAKTI,TELUGU
218,672,VANITHA TV,TELUGU
219,676,DISCOVERY TAMIL,TAMIL
220,677,SUN TV,TAMIL
221,678,STAR VIJAY,TAMIL
222,679,KALAIGNAR TV,TAMIL
223,680,SUN KTV,TAMIL
224,681,KALAIGNAR ISAI ARUVI,TAMIL
225,683,DD PODHIGAI,TAMIL
226,685,SUN MUSIC,TAMIL
227,686,POLIMER TV,TAMIL
228,687,ADITHYA,TAMIL
229,688,KALAIGNAR MURASU,TAMIL
230,689,CHUTTI TV,TAMIL
231,690,SUN NEWS,TAMIL
232,691,ASIANET,MALAYALAM
233,692,ASIANET MOVIES,MALAYALAM
234,693,ASIANET PLUS,MALAYALAM
235,694,SURYA MOVIES,MALAYALAM
236,695,SURYA TV,MALAYALAM
237,697,MAZHAVIL MANORAMA,MALAYALAM
238,698,JEEVAN,MALAYALAM
239,700,ASIANET NEWS,MALAYALAM
240,702,MATRUBHUMI NEWS,MALAYALAM
241,703,MANORAMA NEWS,MALAYALAM
242,704,DD MALAYALAM,MALAYALAM
243,711,COLORS KANNADA,KANADA
244,712,STAR SUVARNA,KANADA
245,713,SUVARNA PLUS,KANADA
246,714,UDAYA TV,KANADA
247,715,UDAYA MOVIES,KANADA
248,716,UDAYA NEWS,KANADA
249,717,ZEE KANNADA,KANADA
250,718,KASTHURI,KANADA
251,719,KASTHURI NEWS 24,KANADA
252,720,DD CHANDANA,KANADA
253,721,COLORS BANGLA,BANGLA
254,722,STAR JALSHA MOVIES,BANGLA
255,723,STAR JALSHA,BANGLA
256,724,ZEE BANGLA,BANGLA
257,725,ZEE BANGLA CINEMA,BANGLA
258,726,AATH,BANGLA
259,730,DD BANGLA,BANGLA
260,735,SANGEET BANGLA,BANGLA
